Income,Savings,Debt_Status,Investable_Amount,Investment_Term_Months,Risk_Tolerance,Investment_Purpose,Age,Employment_Status,Risk_Capacity_Score,Risk_Tolerance_Score,Final_Risk_Score,Risk_Profile
"25,000 - 49,999",42875,"Less than 10,000",2980,353,3,Retirement savings,50,Employed,44.4,49.7,46.6,Balanced
"Less than 25,000",71516,"Less than 10,000",8620,202,3,Retirement savings,65,Employed,48.0,51.4,49.4,Balanced
"50,000 - 74,999",45766,"10,000 - 25,000",35186,239,2,Retirement savings,69,Employed,45.8,23.3,36.8,Conservative
"Less than 25,000",22821,"10,000 - 25,000",9803,344,3,Retirement savings,50,Employed,38.5,51.1,43.5,Balanced
"Less than 25,000",22326,"10,000 - 25,000",16561,83,3,Buying property,56,Employed,30.6,47.0,37.2,Conservative
"25,000 - 49,999",52493,No debt,22527,80,5,Retirement savings,34,Retired,44.0,100.0,66.4,Growth
"25,000 - 49,999",22884,"10,000 - 25,000",16265,204,3,Retirement savings,40,Employed,37.0,49.4,41.9,Balanced
"50,000 - 74,999",35862,No debt,20836,140,4,Funding education,31,Self-employed,50.0,73.1,59.3,Balanced
"Less than 25,000",28699,No debt,6286,53,1,Funding education,41,Unemployed,36.9,0.0,22.1,Conservative
"25,000 - 49,999",25762,No debt,10812,225,3,Retirement savings,47,Student,46.3,51.3,48.3,Balanced
"25,000 - 49,999",26834,No debt,4755,175,5,Wealth accumulation,50,Employed,41.9,100.0,65.2,Growth
0 - No income / rely on investment returns,9073,No debt,1506,262,3,Retirement savings,45,Student,34.1,51.9,41.2,Balanced
"50,000 - 74,999",46208,"10,000 - 25,000",9131,107,3,Buying property,46,Employed,34.7,44.9,38.7,Conservative
"Less than 25,000",47132,"Over 25,000",27139,108,3,Funding education,31,Employed,31.9,42.0,35.9,Conservative
"Less than 25,000",52730,"Less than 10,000",12655,36,2,Funding education,38,Self-employed,37.0,28.1,33.5,Conservative
"100,000 or more",300000,No debt,117566,93,4,Wealth accumulation,39,Employed,70.3,82.4,75.1,Growth
"100,000 or more",300000,No debt,76354,318,4,Retirement savings,31,Employed,78.3,69.9,74.9,Growth
"75,000 - 99,999",136420,No debt,35231,86,5,Buying property,33,Self-employed,55.8,100.0,73.5,Growth
"25,000 - 49,999",81994,No debt,52788,56,3,Funding education,32,Employed,49.1,51.4,50.0,Balanced
"Less than 25,000",34914,"Over 25,000",20795,58,2,Funding education,47,Employed,26.6,25.0,25.9,Conservative
"50,000 - 74,999",91506,No debt,58817,32,4,Buying property,53,Employed,50.6,73.0,59.6,Balanced
"25,000 - 49,999",129620,"Less than 10,000",95386,118,4,Wealth accumulation,42,Retired,53.0,68.1,59.1,Balanced
"Less than 25,000",39367,No debt,13520,90,3,Wealth accumulation,55,Self-employed,42.6,54.9,47.5,Balanced
"25,000 - 49,999",87306,"10,000 - 25,000",18775,54,1,Funding education,54,Employed,34.4,0.0,20.7,Conservative
0 - No income / rely on investment returns,10786,"10,000 - 25,000",5365,146,2,Retirement savings,63,Employed,21.9,21.1,21.6,Conservative
"75,000 - 99,999",65987,"Over 25,000",14098,114,1,Buying property,59,Employed,36.4,5.0,23.8,Conservative
"Less than 25,000",38220,"10,000 - 25,000",13365,114,2,Buying property,42,Employed,32.4,15.6,25.7,Conservative
"50,000 - 74,999",76053,No debt,24089,86,2,Retirement savings,66,Retired,48.4,17.4,36.0,Conservative
"25,000 - 49,999",35975,No debt,5426,349,2,Retirement savings,63,Employed,50.2,24.9,40.1,Balanced
"25,000 - 49,999",163448,"Less than 10,000",109513,68,4,Wealth accumulation,41,Employed,54.9,76.5,63.5,Growth
"25,000 - 49,999",53469,"Less than 10,000",19870,127,2,Funding education,38,Self-employed,39.5,27.4,34.7,Conservative
"Less than 25,000",26205,"Less than 10,000",16087,282,3,Retirement savings,55,Self-employed,43.7,48.5,45.6,Balanced
"100,000 or more",129957,No debt,55724,131,4,Wealth accumulation,48,Self-employed,65.2,87.7,74.2,Growth
"50,000 - 74,999",71463,No debt,45333,237,2,Retirement savings,59,Employed,57.5,23.9,44.0,Balanced
"100,000 or more",132330,"Less than 10,000",30674,207,3,Retirement savings,68,Employed,60.5,48.8,55.8,Balanced
"75,000 - 99,999",41501,"Less than 10,000",32103,75,1,Funding education,69,Employed,49.0,0.0,29.4,Conservative
"25,000 - 49,999",93576,"10,000 - 25,000",62134,286,3,Retirement savings,58,Employed,49.5,50.6,49.9,Balanced
"100,000 or more",236468,No debt,31024,130,5,Wealth accumulation,27,Self-employed,66.6,100.0,79.9,Growth
"Less than 25,000",68203,"Less than 10,000",26836,245,3,Retirement savings,61,Retired,51.6,56.0,53.4,Balanced
"Less than 25,000",38476,No debt,7941,353,2,Retirement savings,67,Retired,52.0,17.6,38.2,Conservative
0 - No income / rely on investment returns,23968,No debt,19560,100,2,Retirement savings,64,Retired,36.3,23.8,31.3,Conservative
"25,000 - 49,999",31807,"Less than 10,000",26794,172,4,Wealth accumulation,50,Employed,43.1,77.2,56.8,Balanced
"25,000 - 49,999",74385,No debt,60682,250,3,Retirement savings,47,Self-employed,57.9,52.9,55.9,Balanced
"Less than 25,000",37085,No debt,18365,138,2,Retirement savings,68,Employed,45.5,25.0,37.3,Conservative
"75,000 - 99,999",73140,No debt,30462,264,2,Retirement savings,63,Employed,61.1,27.7,47.8,Balanced
"25,000 - 49,999",75579,No debt,33324,337,3,Retirement savings,39,Employed,57.9,46.0,53.1,Balanced
"Less than 25,000",51370,No debt,31722,39,3,Buying property,28,Employed,46.6,57.8,51.1,Balanced
"25,000 - 49,999",50557,No debt,9482,91,2,Retirement savings,53,Employed,41.7,30.0,37.0,Conservative
"Less than 25,000",40712,No debt,18168,101,2,Funding education,46,Unemployed,44.5,18.3,34.0,Conservative
"75,000 - 99,999",54966,No debt,30506,201,2,Retirement savings,49,Employed,58.8,19.6,43.2,Balanced
"Less than 25,000",60881,"10,000 - 25,000",46723,73,4,Wealth accumulation,37,Employed,41.1,69.8,52.6,Balanced
"100,000 or more",76860,No debt,37979,31,3,Buying property,42,Employed,59.4,53.4,57.0,Balanced
"50,000 - 74,999",49588,No debt,37928,336,2,Retirement savings,57,Retired,61.1,18.6,44.1,Balanced
"Less than 25,000",33733,"Less than 10,000",28396,102,3,Retirement savings,40,Self-employed,40.5,48.3,43.7,Balanced
0 - No income / rely on investment returns,30046,"10,000 - 25,000",9442,115,2,Buying property,69,Self-employed,21.9,27.3,24.1,Conservative
"75,000 - 99,999",160703,"10,000 - 25,000",74162,69,1,Buying property,66,Employed,47.5,0.0,28.5,Conservative
"50,000 - 74,999",70390,"10,000 - 25,000",30909,295,1,Retirement savings,68,Self-employed,46.9,1.3,28.6,Conservative
"50,000 - 74,999",103853,"10,000 - 25,000",52047,83,4,Wealth accumulation,26,Employed,41.3,69.7,52.7,Balanced
"50,000 - 74,999",30324,"Less than 10,000",11480,257,3,Retirement savings,59,Retired,46.4,53.0,49.1,Balanced
"Less than 25,000",22821,"10,000 - 25,000",10364,143,1,Retirement savings,66,Self-employed,30.3,0.0,18.2,Defensive
"25,000 - 49,999",34581,"Less than 10,000",3169,90,2,Retirement savings,58,Employed,32.6,23.4,28.9,Conservative
"Less than 25,000",61157,No debt,27077,196,3,Wealth accumulation,54,Employed,54.1,51.2,52.9,Balanced
"75,000 - 99,999",127729,No debt,64187,67,2,Buying property,37,Employed,56.9,25.5,44.4,Balanced
"50,000 - 74,999",77385,No debt,40521,106,4,Wealth accumulation,37,Employed,51.4,75.1,60.9,Growth
"25,000 - 49,999",56468,"Over 25,000",10926,67,3,Retirement savings,42,Employed,25.6,46.2,33.9,Conservative
"Less than 25,000",71629,"Less than 10,000",49842,111,3,Retirement savings,56,Self-employed,50.0,48.5,49.4,Balanced
"25,000 - 49,999",45047,"10,000 - 25,000",22819,104,3,Retirement savings,56,Employed,33.7,50.0,40.2,Balanced
"25,000 - 49,999",25426,No debt,12684,72,3,Wealth accumulation,59,Employed,40.7,43.1,41.7,Balanced
"50,000 - 74,999",121519,"Less than 10,000",29881,359,2,Retirement savings,63,Employed,56.7,22.7,43.1,Balanced
"50,000 - 74,999",77276,No debt,32895,97,2,Retirement savings,70,Employed,50.0,26.9,40.8,Balanced
"75,000 - 99,999",148327,No debt,48110,290,3,Retirement savings,53,Student,65.6,43.6,56.8,Balanced
"25,000 - 49,999",47962,"10,000 - 25,000",33193,41,5,Wealth accumulation,53,Employed,33.4,100.0,60.0,Growth
"Less than 25,000",21498,"Less than 10,000",3147,127,2,Retirement savings,68,Self-employed,31.2,31.3,31.3,Conservative
"50,000 - 74,999",86304,No debt,39503,86,2,Funding education,40,Retired,50.6,18.8,37.9,Conservative
"50,000 - 74,999",70920,"10,000 - 25,000",18112,245,2,Retirement savings,68,Self-employed,43.0,31.8,38.5,Conservative
"25,000 - 49,999",53800,No debt,18000,220,4,Wealth accumulation,34,Student,49.0,74.3,59.1,Balanced
"50,000 - 74,999",158342,"Over 25,000",50983,236,5,Wealth accumulation,54,Employed,45.3,100.0,67.2,Growth
"25,000 - 49,999",28316,No debt,6942,29,3,Buying property,49,Unemployed,36.7,47.5,41.0,Balanced
"25,000 - 49,999",56586,No debt,5621,72,2,Retirement savings,63,Employed,40.9,29.6,36.4,Conservative
"25,000 - 49,999",32567,No debt,17457,273,2,Retirement savings,44,Employed,50.4,27.0,41.0,Balanced
0 - No income / rely on investment returns,4712,No debt,1020,65,5,Wealth accumulation,29,Self-employed,25.7,95.9,53.8,Balanced
"Less than 25,000",31908,No debt,15615,25,3,Buying property,25,Unemployed,39.3,44.2,41.2,Balanced
0 - No income / rely on investment returns,17478,"10,000 - 25,000",7476,117,3,Retirement savings,54,Retired,21.1,42.7,29.7,Conservative
"50,000 - 74,999",96374,"10,000 - 25,000",23406,59,3,Buying property,27,Employed,37.2,50.9,42.7,Balanced
"25,000 - 49,999",43993,"10,000 - 25,000",6073,107,4,Wealth accumulation,69,Employed,30.0,77.9,49.2,Balanced
"25,000 - 49,999",23296,No debt,12263,80,2,Funding education,38,Unemployed,41.0,28.3,35.9,Conservative
"75,000 - 99,999",61030,"Less than 10,000",22648,141,2,Funding education,54,Employed,48.8,24.4,39.1,Conservative
"Less than 25,000",63169,No debt,20769,172,5,Wealth accumulation,28,Retired,52.5,94.2,69.2,Growth
"25,000 - 49,999",32281,No debt,7734,100,2,Funding education,42,Retired,40.2,21.6,32.7,Conservative
"50,000 - 74,999",155724,"Less than 10,000",73043,109,2,Retirement savings,61,Employed,51.3,30.8,43.1,Balanced
"Less than 25,000",55275,"Less than 10,000",34093,67,5,Wealth accumulation,49,Employed,42.8,97.6,64.7,Growth
"Less than 25,000",27895,No debt,1000,133,5,Wealth accumulation,25,Employed,38.1,100.0,62.9,Growth
"Less than 25,000",22709,No debt,4165,78,3,Wealth accumulation,70,Employed,35.9,44.6,39.4,Conservative
"Less than 25,000",55218,"Over 25,000",19719,118,3,Buying property,39,Student,32.3,51.7,40.1,Balanced
"100,000 or more",106798,No debt,41489,113,3,Funding education,33,Employed,63.0,47.7,56.9,Balanced
"75,000 - 99,999",42510,No debt,23114,89,5,Wealth accumulation,39,Student,53.3,100.0,72.0,Growth
"50,000 - 74,999",93469,"Less than 10,000",34775,106,3,Retirement savings,48,Employed,45.2,53.9,48.7,Balanced
"75,000 - 99,999",113433,No debt,79025,49,5,Wealth accumulation,28,Unemployed,57.3,97.5,73.4,Growth
"75,000 - 99,999",162623,No debt,93378,211,5,Wealth accumulation,36,Employed,65.6,99.4,79.1,Growth
"Less than 25,000",38944,"Less than 10,000",15541,90,1,Funding education,61,Employed,37.1,0.0,22.2,Conservative
"75,000 - 99,999",69966,"10,000 - 25,000",25301,192,3,Wealth accumulation,61,Employed,46.4,42.9,45.0,Balanced
"25,000 - 49,999",92540,"Less than 10,000",63761,70,3,Buying property,67,Retired,45.6,45.7,45.6,Balanced
"75,000 - 99,999",182377,"Less than 10,000",60486,122,4,Retirement savings,30,Self-employed,54.6,76.0,63.2,Growth
"75,000 - 99,999",103460,"Over 25,000",42690,54,1,Funding education,63,Retired,38.1,1.6,23.5,Conservative
"25,000 - 49,999",50550,"10,000 - 25,000",3265,160,2,Retirement savings,70,Employed,32.4,25.7,29.7,Conservative
"Less than 25,000",16872,"Less than 10,000",1000,72,2,Funding education,48,Employed,26.8,23.5,25.5,Conservative
"Less than 25,000",24132,"Less than 10,000",18538,166,3,Retirement savings,35,Employed,39.8,54.7,45.7,Balanced
"25,000 - 49,999",71750,"Less than 10,000",26212,127,1,Funding education,37,Employed,41.9,0.3,25.3,Conservative
"75,000 - 99,999",69682,"Less than 10,000",33224,87,2,Wealth accumulation,58,Employed,48.1,28.5,40.3,Balanced
"75,000 - 99,999",44441,"Less than 10,000",9500,220,5,Wealth accumulation,49,Unemployed,49.6,91.1,66.2,Growth
0 - No income / rely on investment returns,98832,"10,000 - 25,000",61743,123,3,Funding education,31,Unemployed,36.8,30.4,34.3,Conservative
"25,000 - 49,999",23596,No debt,6423,51,4,Buying property,28,Unemployed,37.3,76.4,52.9,Balanced
"25,000 - 49,999",151590,"Less than 10,000",93561,59,4,Buying property,32,Retired,52.4,67.9,58.6,Balanced
"Less than 25,000",28039,"Less than 10,000",9993,151,4,Wealth accumulation,44,Employed,36.1,73.9,51.3,Balanced
"Less than 25,000",31345,No debt,12553,77,3,Retirement savings,53,Employed,40.4,48.5,43.6,Balanced
"25,000 - 49,999",35046,No debt,16763,124,1,Funding education,69,Employed,43.9,7.9,29.5,Conservative
"100,000 or more",178184,"Less than 10,000",87164,198,3,Wealth accumulation,70,Retired,64.6,52.0,59.5,Balanced
"25,000 - 49,999",23877,"Less than 10,000",12693,103,3,Funding education,34,Employed,36.1,50.8,42.0,Balanced
"25,000 - 49,999",19543,No debt,3228,113,3,Wealth accumulation,67,Employed,38.3,54.2,44.6,Balanced
"50,000 - 74,999",157836,"Less than 10,000",49183,202,4,Wealth accumulation,58,Employed,53.8,76.8,63.0,Growth
"25,000 - 49,999",32812,"Less than 10,000",25148,125,4,Wealth accumulation,50,Employed,40.6,72.7,53.4,Balanced
"100,000 or more",174939,No debt,23771,323,3,Retirement savings,65,Student,72.1,55.4,65.4,Growth
"100,000 or more",70012,"Less than 10,000",23596,111,5,Buying property,27,Retired,54.9,94.5,70.7,Growth
"Less than 25,000",46597,"10,000 - 25,000",12289,50,5,Wealth accumulation,30,Employed,31.2,100.0,58.7,Balanced
"25,000 - 49,999",113815,"10,000 - 25,000",37198,30,4,Buying property,29,Unemployed,38.1,67.3,49.8,Balanced
"25,000 - 49,999",37684,"Less than 10,000",12723,40,4,Buying property,29,Self-employed,33.4,76.0,50.4,Balanced
"Less than 25,000",12436,"Less than 10,000",3522,273,4,Retirement savings,47,Employed,36.2,76.0,52.1,Balanced
0 - No income / rely on investment returns,40040,No debt,21524,123,4,Retirement savings,33,Employed,37.2,83.4,55.7,Balanced
"50,000 - 74,999",112123,No debt,33453,71,2,Retirement savings,59,Employed,50.5,17.2,37.2,Conservative
"25,000 - 49,999",38707,No debt,6818,105,3,Buying property,44,Employed,40.6,47.0,43.2,Balanced
"Less than 25,000",29322,"Over 25,000",15012,233,2,Retirement savings,66,Unemployed,31.5,29.1,30.5,Conservative
"Less than 25,000",18765,No debt,1000,82,1,Funding education,59,Employed,33.7,1.7,20.9,Conservative
"75,000 - 99,999",187300,No debt,9069,102,3,Buying property,42,Student,57.2,50.9,54.7,Balanced
"Less than 25,000",25027,"Over 25,000",6071,39,3,Buying property,41,Employed,19.5,45.2,29.8,Conservative
"Less than 25,000",16086,"Over 25,000",8973,104,2,Funding education,48,Employed,22.9,22.0,22.5,Conservative
"25,000 - 49,999",54577,"10,000 - 25,000",32710,25,4,Buying property,27,Employed,32.7,81.2,52.1,Balanced
"100,000 or more",78366,No debt,22886,303,2,Retirement savings,56,Employed,68.8,24.7,51.2,Balanced
"Less than 25,000",19537,No debt,2648,308,2,Retirement savings,59,Employed,44.1,26.9,37.2,Conservative
"50,000 - 74,999",56907,"Less than 10,000",25907,164,1,Retirement savings,62,Student,45.5,0.0,27.3,Conservative
"50,000 - 74,999",73674,No debt,8230,77,3,Buying property,37,Employed,45.8,44.1,45.1,Balanced
"Less than 25,000",16391,No debt,8596,214,4,Retirement savings,49,Self-employed,43.2,79.7,57.8,Balanced
"50,000 - 74,999",141040,"Less than 10,000",9347,66,3,Funding education,33,Employed,44.3,52.5,47.6,Balanced
"25,000 - 49,999",68812,"Over 25,000",33357,204,4,Wealth accumulation,28,Employed,35.9,86.5,56.1,Balanced
"50,000 - 74,999",58779,No debt,19773,106,3,Retirement savings,38,Employed,48.0,44.9,46.8,Balanced
"50,000 - 74,999",44916,"Less than 10,000",26871,78,3,Wealth accumulation,61,Self-employed,42.4,54.1,47.1,Balanced
"25,000 - 49,999",46908,"Less than 10,000",12957,280,2,Retirement savings,58,Employed,44.0,18.4,33.8,Conservative
"Less than 25,000",51267,"Less than 10,000",17903,36,4,Wealth accumulation,35,Employed,37.7,75.8,53.0,Balanced
"75,000 - 99,999",133603,"Less than 10,000",39857,259,2,Retirement savings,65,Self-employed,57.2,29.9,46.3,Balanced
"25,000 - 49,999",83267,No debt,44830,80,4,Buying property,27,Employed,49.2,64.6,55.4,Balanced
"Less than 25,000",25717,No debt,5601,203,3,Retirement savings,52,Employed,42.3,49.0,45.0,Balanced
0 - No income / rely on investment returns,3986,"10,000 - 25,000",2735,87,3,Retirement savings,53,Employed,20.2,47.2,31.0,Conservative
"25,000 - 49,999",91534,No debt,14282,121,3,Funding education,33,Student,48.2,46.5,47.5,Balanced
"50,000 - 74,999",64901,"Over 25,000",53318,337,3,Retirement savings,27,Self-employed,47.0,51.9,49.0,Balanced
0 - No income / rely on investment returns,24012,No debt,12100,64,3,Buying property,49,Employed,31.7,55.6,41.3,Balanced
"25,000 - 49,999",113003,"Less than 10,000",30090,206,3,Retirement savings,58,Employed,49.8,49.3,49.6,Balanced
"Less than 25,000",110448,"Less than 10,000",24567,124,4,Wealth accumulation,36,Unemployed,50.9,76.0,60.9,Growth
"50,000 - 74,999",50986,No debt,27973,237,2,Retirement savings,66,Self-employed,55.0,25.6,43.2,Balanced
"Less than 25,000",34964,No debt,4856,94,5,Wealth accumulation,33,Employed,39.5,100.0,63.7,Growth
"50,000 - 74,999",139755,"Less than 10,000",101337,92,3,Buying property,39,Student,51.9,44.6,48.9,Balanced
"25,000 - 49,999",32158,"10,000 - 25,000",8191,226,2,Retirement savings,64,Employed,34.6,30.5,33.0,Conservative
"100,000 or more",90048,"10,000 - 25,000",18499,182,3,Retirement savings,49,Employed,52.4,51.5,52.0,Balanced
"Less than 25,000",24369,"Less than 10,000",13101,109,3,Funding education,29,Self-employed,35.2,52.0,41.9,Balanced
"25,000 - 49,999",48364,"10,000 - 25,000",34818,298,2,Retirement savings,35,Employed,44.4,21.0,35.0,Conservative
"Less than 25,000",29291,"10,000 - 25,000",13547,42,1,Funding education,58,Unemployed,28.0,0.0,16.8,Defensive
"100,000 or more",89523,"Less than 10,000",9514,75,2,Buying property,48,Retired,51.9,24.1,40.8,Balanced
"75,000 - 99,999",56809,No debt,28548,223,3,Wealth accumulation,39,Self-employed,59.3,42.3,52.5,Balanced
"Less than 25,000",49073,"10,000 - 25,000",37703,266,2,Retirement savings,62,Employed,45.9,16.6,34.2,Conservative
"50,000 - 74,999",137743,"10,000 - 25,000",44966,59,5,Wealth accumulation,32,Employed,41.3,97.0,63.6,Growth
"75,000 - 99,999",193241,No debt,80914,61,5,Wealth accumulation,29,Employed,59.6,100.0,75.8,Growth
"25,000 - 49,999",38562,"10,000 - 25,000",7763,160,4,Wealth accumulation,50,Retired,32.1,71.7,48.0,Balanced
"25,000 - 49,999",75163,"Less than 10,000",28291,125,2,Funding education,42,Employed,42.4,19.9,33.4,Conservative
"Less than 25,000",36800,No debt,22437,69,4,Retirement savings,30,Employed,43.7,70.9,54.6,Balanced
"Less than 25,000",24581,No debt,9656,76,2,Retirement savings,61,Retired,38.4,22.7,32.1,Conservative
"75,000 - 99,999",132912,No debt,54406,101,3,Buying property,37,Employed,57.7,48.2,53.9,Balanced
"75,000 - 99,999",67645,"Less than 10,000",12769,317,4,Retirement savings,52,Self-employed,54.7,85.8,67.2,Growth
"50,000 - 74,999",58462,"10,000 - 25,000",26598,171,4,Retirement savings,29,Employed,40.9,80.3,56.6,Balanced
"25,000 - 49,999",24641,No debt,14141,112,2,Funding education,37,Unemployed,43.0,30.1,37.8,Conservative
"25,000 - 49,999",38888,"10,000 - 25,000",18548,86,3,Retirement savings,41,Employed,31.9,55.8,41.5,Balanced
"50,000 - 74,999",80110,"10,000 - 25,000",34696,96,1,Buying property,64,Employed,39.3,0.0,23.6,Conservative
"75,000 - 99,999",201754,No debt,51083,130,2,Retirement savings,69,Employed,61.3,18.9,44.3,Balanced
"75,000 - 99,999",77156,"10,000 - 25,000",29190,83,1,Funding education,56,Employed,42.4,0.0,25.5,Conservative
"50,000 - 74,999",41988,"Over 25,000",17766,97,3,Buying property,53,Retired,31.2,56.7,41.4,Balanced
"50,000 - 74,999",149180,"10,000 - 25,000",19251,307,4,Retirement savings,27,Retired,50.6,72.3,59.3,Balanced
"Less than 25,000",25408,"10,000 - 25,000",5598,177,2,Retirement savings,64,Self-employed,30.1,18.7,25.6,Conservative
"Less than 25,000",13641,"Over 25,000",7176,32,3,Buying property,58,Employed,18.9,47.8,30.5,Conservative
"75,000 - 99,999",98408,"Less than 10,000",45919,145,2,Retirement savings,64,Employed,52.1,23.8,40.8,Balanced
"50,000 - 74,999",59984,No debt,11860,82,3,Retirement savings,51,Employed,45.7,51.3,48.0,Balanced
0 - No income / rely on investment returns,54363,"10,000 - 25,000",31071,106,2,Funding education,37,Self-employed,28.2,26.3,27.4,Conservative
"Less than 25,000",41472,"10,000 - 25,000",22469,299,2,Retirement savings,69,Student,42.9,20.9,34.1,Conservative
"50,000 - 74,999",65582,"Less than 10,000",24146,108,2,Funding education,57,Employed,43.0,28.4,37.2,Conservative
0 - No income / rely on investment returns,10839,"Less than 10,000",5614,86,5,Retirement savings,30,Employed,24.6,96.8,53.5,Balanced
"Less than 25,000",38568,"10,000 - 25,000",7276,140,3,Retirement savings,48,Self-employed,31.9,49.2,38.8,Conservative
"25,000 - 49,999",101612,No debt,42599,119,2,Funding education,43,Retired,52.1,28.4,42.7,Balanced
"50,000 - 74,999",82465,"Over 25,000",27697,234,4,Wealth accumulation,40,Retired,39.3,71.8,52.3,Balanced
"50,000 - 74,999",46189,No debt,22830,102,2,Retirement savings,64,Student,48.4,22.2,37.9,Conservative
"Less than 25,000",42808,No debt,29603,42,4,Wealth accumulation,52,Employed,45.1,78.0,58.2,Balanced
"50,000 - 74,999",68866,"Less than 10,000",16947,151,2,Retirement savings,57,Employed,43.8,20.7,34.6,Conservative
"Less than 25,000",40921,No debt,7485,106,2,Buying property,65,Student,42.1,23.1,34.5,Conservative
"25,000 - 49,999",41075,"Less than 10,000",16767,86,4,Buying property,37,Self-employed,36.5,77.8,53.0,Balanced
"50,000 - 74,999",58400,"Over 25,000",15776,119,1,Funding education,67,Employed,31.9,10.3,23.2,Conservative
"50,000 - 74,999",57259,"10,000 - 25,000",12463,359,1,Retirement savings,69,Retired,46.3,3.0,29.0,Conservative
"75,000 - 99,999",147481,No debt,86882,62,4,Buying property,49,Retired,58.7,77.4,66.2,Growth
"50,000 - 74,999",58695,No debt,21125,355,2,Retirement savings,66,Self-employed,58.6,27.7,46.2,Balanced
"25,000 - 49,999",38975,"10,000 - 25,000",20325,194,2,Retirement savings,60,Self-employed,36.8,19.6,29.9,Conservative
"Less than 25,000",20415,"Over 25,000",11829,105,1,Funding education,51,Employed,24.3,0.6,14.8,Defensive
"25,000 - 49,999",61547,"Less than 10,000",32817,60,3,Wealth accumulation,62,Employed,39.4,49.9,43.6,Balanced
"Less than 25,000",38213,"Less than 10,000",10298,82,5,Buying property,31,Employed,35.2,100.0,61.1,Growth
"Less than 25,000",26126,"Less than 10,000",12061,48,2,Funding education,29,Retired,32.4,25.6,29.7,Conservative
"100,000 or more",84496,"10,000 - 25,000",37395,138,1,Funding education,67,Retired,52.7,1.9,32.4,Conservative
"25,000 - 49,999",125322,"Less than 10,000",75767,139,1,Funding education,69,Retired,52.0,0.0,31.2,Conservative
"75,000 - 99,999",35958,No debt,12580,121,5,Wealth accumulation,55,Employed,52.4,100.0,71.4,Growth
"50,000 - 74,999",90293,No debt,33639,147,5,Wealth accumulation,47,Retired,52.6,93.9,69.1,Growth
"50,000 - 74,999",134582,"10,000 - 25,000",30739,121,1,Funding education,66,Retired,42.7,0.0,25.6,Conservative
"25,000 - 49,999",9019,No debt,1483,133,2,Funding education,34,Self-employed,37.7,32.0,35.4,Conservative
"25,000 - 49,999",72957,No debt,40257,85,2,Buying property,56,Retired,48.2,26.6,39.5,Conservative
"25,000 - 49,999",43933,"Less than 10,000",23650,323,2,Retirement savings,67,Retired,48.0,24.9,38.8,Conservative
"Less than 25,000",37165,No debt,14671,148,4,Wealth accumulation,54,Employed,44.9,84.5,60.8,Growth
"50,000 - 74,999",60030,No debt,27238,205,1,Retirement savings,63,Employed,53.4,0.0,32.1,Conservative
"Less than 25,000",55982,"10,000 - 25,000",19069,275,2,Retirement savings,55,Employed,43.9,19.5,34.1,Conservative
0 - No income / rely on investment returns,20636,"Over 25,000",13630,315,3,Retirement savings,42,Employed,27.2,58.6,39.7,Conservative
"50,000 - 74,999",75364,"10,000 - 25,000",36579,95,1,Funding education,60,Self-employed,39.4,0.2,23.7,Conservative
